City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,copala,16.65,-98.9833,30.88,59,4,5.86,MX,1683755368
313,greymouth,-42.4667,171.2,8.92,81,75,2.85,NZ,1683755256
314,kisangani,0.5167,25.2,20.98,99,48,0.23,CD,1683755368
315,san isidro,-12.1167,-77.05,23.34,77,100,3.6,PE,1683755368
316,brookings,44.3114,-96.7984,23.19,56,40,4.12,US,1683755208
317,egilsstadir,65.2653,-14.3948,6.95,87,75,2.06,IS,1683755374
318,cannonvale,-20.2833,148.7,20.66,80,84,7.06,AU,1683755379
319,puerto lleras,3.0223,-73.4044,23.28,92,98,1.29,CO,1683755379
320,alaghsas,17.0187,8.0168,30.64,12,4,7.46,NE,1683755379
321,undurkhaan,47.3194,110.6556,10.83,44,84,0.95,MN,1683755380
322,puerto armuelles,8.2833,-82.8667,30.99,72,79,2.82,PA,1683755380
323,coquimbo,-29.9533,-71.3436,13.85,88,100,2.06,CL,1683755330
324,borkum,53.5809,6.6915,10.53,87,100,1.52,DE,1683755381
325,northam,51.0333,-4.2167,11.45,91,76,4.78,GB,1683755381
326,jianguang,28.1938,115.7836,15.63,91,100,2.75,CN,1683755381
327,dunbar,38.3606,-81.7374,27.07,32,0,0.89,US,1683755222
328,pascani,47.2469,26.7229,7.43,76,28,0.16,RO,1683755382
329,zboriv,49.6648,25.141,4.23,76,7,3.41,UA,1683755382
330,tamala,52.541,43.2515,6.26,71,94,3.19,RU,1683755382
331,emerald,-23.5333,148.1667,14.08,55,96,6.23,AU,1683755383
332,rehoboth,-23.3167,17.0833,18.29,22,54,0.81,NA,1683755383
333,las khorey,11.1595,48.1967,29.56,65,91,3.29,SO,1683755383
334,broome,42.2506,-75.833,19.83,36,2,3.13,US,1683755384
335,mangaratiba,-22.9597,-44.0406,21.48,93,100,0.96,BR,1683755384
336,dzhambeyty,50.2536,52.595,10.32,81,98,3.17,KZ,1683755384
337,ushtobe,45.2514,77.9838,17.8,25,89,3.21,KZ,1683755384
338,twon-brass,4.3151,6.2418,28.1,80,93,5.0,NG,1683755385
339,al jawf,29.5,38.75,25.72,16,63,8.59,SA,1683755385
340,ixtapa,20.7,-105.2,29.57,66,0,6.17,MX,1683755385
